seed,max_accuracy
0,0.5125
1,0.55
2,0.51875
3,0.571875
4,0.5375
5,0.51875
6,0.53125
7,0.515625
8,0.56875
9,0.6375
10,0.559375
11,0.54375
12,0.55
13,0.534375
14,0.525
15,0.621875
16,0.51875
17,0.54375
18,0.565625
19,0.55625
20,0.575
21,0.525
22,0.53125
23,0.534375
24,0.515625
25,0.525
26,0.521875
27,0.578125
28,0.54375
29,0.546875
30,0.51875
31,0.55625
32,0.515625
33,0.54375
34,0.525
35,0.553125
36,0.525
37,0.578125
38,0.6
39,0.54375
40,0.525
41,0.559375
42,0.5375
43,0.515625
44,0.553125
45,0.59375
46,0.56875
47,0.525
48,0.540625
49,0.528125
50,0.521875
51,0.540625
52,0.553125
53,0.5375
54,0.534375
55,0.51875
56,0.559375
57,0.5125
58,0.56875
59,0.521875
60,0.515625
61,0.55625
62,0.54375
63,0.534375
64,0.559375
65,0.534375
66,0.54375
67,0.565625
68,0.578125
69,0.625
70,0.559375
71,0.5375
72,0.55625
73,0.54375
74,0.590625
75,0.528125
76,0.5875
77,0.5375
78,0.5375
79,0.51875
80,0.503125
81,0.515625
82,0.515625
83,0.521875
84,0.509375
85,0.578125
86,0.53125
87,0.55
88,0.503125
89,0.559375
90,0.534375
91,0.540625
92,0.5125
93,0.55
94,0.5375
95,0.515625
96,0.5125
97,0.525
98,0.546875
99,0.534375
100,0.553125
101,0.559375
102,0.525
103,0.578125
104,0.53125
105,0.59375
106,0.51875
107,0.565625
108,0.5625
109,0.528125
110,0.56875
111,0.496875
112,0.509375
113,0.528125
114,0.5625
115,0.534375
116,0.51875
117,0.521875
118,0.521875
119,0.534375
120,0.525
121,0.55625
122,0.55
123,0.528125
124,0.571875
125,0.55625
126,0.51875
127,0.5125
128,0.53125
129,0.534375
130,0.55625
131,0.528125
132,0.54375
133,0.559375
134,0.55
135,0.528125
136,0.565625
137,0.525
138,0.55625
139,0.55625
140,0.54375
141,0.5125
142,0.559375
143,0.525
144,0.5125
145,0.55
146,0.6
147,0.58125
148,0.515625
149,0.54375
150,0.54375
151,0.54375
152,0.6
153,0.534375
154,0.521875
155,0.553125
156,0.534375
157,0.521875
158,0.528125
159,0.559375
160,0.55625
161,0.590625
162,0.534375
163,0.575
164,0.53125
165,0.56875
166,0.56875
167,0.509375
168,0.521875
169,0.53125
170,0.509375
171,0.5625
172,0.525
173,0.5375
174,0.553125
175,0.553125
176,0.553125
177,0.528125
178,0.50625
179,0.51875
180,0.534375
181,0.5625
182,0.546875
183,0.575
184,0.596875
185,0.53125
186,0.540625
187,0.521875
188,0.51875
189,0.575
190,0.5375
191,0.565625
192,0.51875
193,0.540625
194,0.575
195,0.528125
196,0.575
197,0.5625
198,0.546875
199,0.59375
200,0.553125
201,0.53125
202,0.525
203,0.553125
204,0.521875
205,0.525
206,0.58125
207,0.5125
208,0.6
209,0.55625
210,0.515625
211,0.575
212,0.55
213,0.540625
214,0.53125
215,0.546875
216,0.5375
217,0.521875
218,0.578125
219,0.53125
220,0.534375
221,0.509375
222,0.55625
223,0.53125
224,0.55
225,0.5375
226,0.553125
227,0.5375
228,0.53125
229,0.596875
230,0.565625
231,0.515625
232,0.565625
233,0.53125
234,0.546875
235,0.5125
236,0.515625
237,0.540625
238,0.509375
239,0.50625
240,0.5125
241,0.54375
242,0.546875
243,0.528125
244,0.571875
245,0.503125
246,0.540625
247,0.5375
248,0.53125
249,0.55
250,0.575
251,0.49375
252,0.575
253,0.571875
254,0.53125
255,0.546875
256,0.50625
257,0.53125
258,0.5375
259,0.559375
260,0.6
261,0.540625
262,0.5625
263,0.584375
264,0.525
265,0.55
266,0.51875
267,0.528125
268,0.5875
269,0.54375
270,0.58125
271,0.5625
272,0.55
273,0.58125
274,0.559375
275,0.54375
276,0.515625
277,0.528125
278,0.5375
279,0.546875
280,0.521875
281,0.53125
282,0.50625
283,0.515625
284,0.55625
285,0.553125
286,0.571875
287,0.525
288,0.515625
289,0.59375
290,0.559375
291,0.534375
292,0.534375
293,0.53125
294,0.553125
295,0.58125
296,0.546875
297,0.53125
298,0.525
299,0.578125
300,0.540625
301,0.496875
302,0.534375
303,0.565625
304,0.590625
305,0.5125
306,0.5375
307,0.509375
308,0.521875
309,0.540625
310,0.515625
311,0.61875
312,0.515625
313,0.534375
314,0.55
315,0.584375
316,0.546875
317,0.559375
318,0.515625
319,0.546875
320,0.59375
321,0.55
322,0.515625
323,0.528125
324,0.54375
325,0.534375
326,0.55
327,0.515625
328,0.571875
329,0.5125
330,0.534375
331,0.565625
332,0.55
333,0.553125
334,0.515625
335,0.575
336,0.546875
337,0.50625
338,0.553125
339,0.525
340,0.534375
