layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,❌,0.47058301928297813
0,0,refrigerator,congruent,✅,0.5876966684844377
0,0,library,incongruent,❌,0.5664185071685686
0,0,refrigerator,incongruent,✅,0.4660763543146712
0,1,disappointment,congruent,✅,0.5269243697586279
0,1,delight,congruent,❌,0.47387939539693186
0,1,disappointment,incongruent,✅,0.46812005318596456
0,1,delight,incongruent,❌,0.5216142792992434
0,10,cash,congruent,✅,0.5301047412267392
0,10,groceries,congruent,✅,0.5496270848156652
0,10,cash,incongruent,❌,0.5430253151385529
0,10,groceries,incongruent,❌,0.5302704723665457
0,11,lonely,congruent,✅,0.52913283880383
0,11,confident,congruent,✅,0.5735839584040664
0,11,lonely,incongruent,❌,0.5743353026211702
0,11,confident,incongruent,❌,0.5207069616944181
0,12,joy,congruent,❌,0.44555414312683844
0,12,outrage,congruent,✅,0.5166809661471353
0,12,joy,incongruent,❌,0.5048768552616514
0,12,outrage,incongruent,✅,0.43175283052210905
0,13,traffic,congruent,✅,0.5711630747196186
0,13,snowstorm,congruent,❌,0.4971166303830685
0,13,traffic,incongruent,✅,0.4946973885906223
0,13,snowstorm,incongruent,❌,0.5714811524418776
0,14,laughter,congruent,❌,0.49501342177532837
0,14,frustration,congruent,❌,0.45649142737574694
0,14,laughter,incongruent,✅,0.4541066263509108
0,14,frustration,incongruent,✅,0.4933848236455515
0,15,calculator,congruent,❌,0.4647550984437355
0,15,instrument,congruent,✅,0.5210740856774715
0,15,calculator,incongruent,✅,0.4833606760649892
0,15,instrument,incongruent,✅,0.40999654160373217
0,16,orchestra,congruent,✅,0.5722692139606155
0,16,racers,congruent,✅,0.5252468751155616
0,16,orchestra,incongruent,❌,0.5261656346109584
0,16,racers,incongruent,❌,0.5617666286991833
0,17,retirement,congruent,✅,0.560327738942431
0,17,playdate,congruent,❌,0.47687560387840705
0,17,retirement,incongruent,✅,0.47088791153465914
0,17,playdate,incongruent,❌,0.548646055772819
0,18,relieved,congruent,❌,0.4967574925458925
0,18,depressed,congruent,❌,0.4787929690038732
0,18,relieved,incongruent,✅,0.4827249606780427
0,18,depressed,incongruent,✅,0.4930747609469047
0,19,friends,congruent,❌,0.49833755834248317
0,19,weight,congruent,✅,0.556718974492378
0,19,friends,incongruent,❌,0.5817423153777066
0,19,weight,incongruent,✅,0.48865976830752517
0,2,overcoat,congruent,❌,0.3957705230044179
0,2,sandals,congruent,✅,0.5792194533677546
0,2,overcoat,incongruent,❌,0.5692080436735161
0,2,sandals,incongruent,✅,0.3970843991823892
0,20,lipstick,congruent,✅,0.5309917307409058
0,20,song,congruent,✅,0.5254382648697096
0,20,lipstick,incongruent,❌,0.5291145559750517
0,20,song,incongruent,❌,0.5093442810506343
0,21,fought,congruent,❌,0.42216184490482545
0,21,sang,congruent,✅,0.509144604381895
0,21,fought,incongruent,❌,0.5098954374678564
0,21,sang,incongruent,✅,0.4261463987072188
0,22,skeptical,congruent,✅,0.535911688466719
0,22,reassured,congruent,❌,0.46256752322176387
0,22,skeptical,incongruent,✅,0.4596067794194657
0,22,reassured,incongruent,❌,0.5457787870232609
0,23,graduation,congruent,✅,0.5325749402263356
0,23,operation,congruent,❌,0.4700512828933385
0,23,graduation,incongruent,✅,0.44924416546873236
0,23,operation,incongruent,❌,0.536402911383283
0,24,bride,congruent,✅,0.532915544502923
0,24,aftermath,congruent,❌,0.4775107734763056
0,24,bride,incongruent,✅,0.469428877331372
0,24,aftermath,incongruent,❌,0.5044854551862035
0,25,teacher,congruent,✅,0.5573008274074905
0,25,daughter,congruent,✅,0.5594576226530288
0,25,teacher,incongruent,❌,0.5557245017118658
0,25,daughter,incongruent,❌,0.5662807373988222
0,26,roommate,congruent,❌,0.4463210113687029
0,26,grandma,congruent,❌,0.4752161519172221
0,26,roommate,incongruent,✅,0.4684790490358364
0,26,grandma,incongruent,✅,0.4579693502589606
0,27,brother,congruent,✅,0.5419340102163464
0,27,mother,congruent,❌,0.4761569006850265
0,27,brother,incongruent,✅,0.4767370615564887
0,27,mother,incongruent,❌,0.5432016327440046
0,28,preschool,congruent,✅,0.5580635773237886
0,28,prison,congruent,✅,0.521104675838534
0,28,preschool,incongruent,✅,0.49344926378013204
0,28,prison,incongruent,❌,0.5377430233387138
0,29,hopeful,congruent,❌,0.42698880066922035
0,29,hopeless,congruent,✅,0.5355778433739519
0,29,hopeful,incongruent,❌,0.539281251330804
0,29,hopeless,incongruent,✅,0.41876781359079573
0,3,marathon,congruent,✅,0.5545985920475898
0,3,exam,congruent,✅,0.5659734732398755
0,3,marathon,incongruent,❌,0.5560162173878809
0,3,exam,incongruent,❌,0.5613080994284895
0,30,appalled,congruent,❌,0.43659290147627716
0,30,overjoyed,congruent,❌,0.49765500954836306
0,30,appalled,incongruent,✅,0.4989739425582779
0,30,overjoyed,incongruent,✅,0.43534979533542373
0,31,reprimand,congruent,✅,0.505736885632928
0,31,encouragement,congruent,✅,0.5144714383013216
0,31,reprimand,incongruent,❌,0.5188413799347235
0,31,encouragement,incongruent,❌,0.5020964894004025
0,32,angrily,congruent,❌,0.49773884296412313
0,32,cordially,congruent,✅,0.5036627247409029
0,32,angrily,incongruent,❌,0.5028453326468216
0,32,cordially,incongruent,❌,0.5054854454318829
0,33,accusatory,congruent,❌,0.45723841189395803
0,33,flirtatious,congruent,❌,0.4844227001383089
0,33,accusatory,incongruent,✅,0.48308639112993623
0,33,flirtatious,incongruent,✅,0.4565320728361732
0,34,disapprovingly,congruent,❌,0.478614840588503
0,34,lovingly,congruent,✅,0.5012611662765671
0,34,disapprovingly,incongruent,✅,0.49840641459372503
0,34,lovingly,incongruent,✅,0.48021976149313295
0,35,playful,congruent,✅,0.5391070567933504
0,35,distant,congruent,❌,0.43423296251307764
0,35,playful,incongruent,✅,0.4306645351194449
0,35,distant,incongruent,❌,0.5222643173434722
0,36,headphones,congruent,✅,0.5265779959718715
0,36,mangoes,congruent,✅,0.5304890109897256
0,36,headphones,incongruent,❌,0.5262841062225748
0,36,mangoes,incongruent,✅,0.4660295127467668
0,37,playroom,congruent,✅,0.526529069677318
0,37,park,congruent,✅,0.5354930721731381
0,37,playroom,incongruent,❌,0.5370739410356418
0,37,park,incongruent,❌,0.5281883044040263
0,38,bedroom,congruent,✅,0.5560464732691746
0,38,backyard,congruent,✅,0.5362240050517373
0,38,bedroom,incongruent,❌,0.5283198312536538
0,38,backyard,incongruent,❌,0.5547837550851846
0,39,solemnly,congruent,✅,0.5144417596552944
0,39,excitedly,congruent,❌,0.4811449177054632
0,39,solemnly,incongruent,✅,0.47980485075321566
0,39,excitedly,incongruent,❌,0.51489344638364
