seed,max_accuracy
0,0.515625
1,0.54375
2,0.54375
3,0.575
4,0.515625
5,0.54375
6,0.55
7,0.528125
8,0.59375
9,0.59375
10,0.559375
11,0.553125
12,0.58125
13,0.55625
14,0.53125
15,0.60625
16,0.55625
17,0.54375
18,0.55625
19,0.56875
20,0.58125
21,0.50625
22,0.553125
23,0.534375
24,0.521875
25,0.521875
26,0.51875
27,0.615625
28,0.58125
29,0.534375
30,0.5125
31,0.55625
32,0.51875
33,0.54375
34,0.53125
35,0.55
36,0.525
37,0.534375
38,0.578125
39,0.528125
40,0.53125
41,0.58125
42,0.525
43,0.546875
44,0.571875
45,0.58125
46,0.559375
47,0.540625
48,0.5375
49,0.521875
50,0.5125
51,0.590625
52,0.546875
53,0.528125
54,0.5625
55,0.521875
56,0.553125
57,0.53125
58,0.534375
59,0.509375
60,0.521875
61,0.55625
62,0.534375
63,0.534375
64,0.5625
65,0.521875
66,0.5375
67,0.54375
68,0.578125
69,0.640625
70,0.540625
71,0.528125
72,0.571875
73,0.58125
74,0.578125
75,0.540625
76,0.571875
77,0.525
78,0.553125
79,0.515625
80,0.50625
81,0.515625
82,0.51875
83,0.525
84,0.53125
85,0.596875
86,0.525
87,0.54375
88,0.528125
89,0.56875
90,0.5625
91,0.5625
92,0.5125
93,0.584375
94,0.546875
95,0.525
96,0.51875
97,0.525
98,0.55
99,0.55
100,0.571875
101,0.55
102,0.515625
103,0.603125
104,0.51875
105,0.58125
106,0.509375
107,0.565625
108,0.5625
109,0.528125
110,0.559375
111,0.5125
112,0.509375
113,0.540625
114,0.559375
115,0.553125
116,0.521875
117,0.509375
118,0.53125
119,0.55625
120,0.546875
121,0.540625
122,0.53125
123,0.515625
124,0.5875
125,0.509375
126,0.534375
127,0.540625
128,0.5125
129,0.534375
130,0.553125
131,0.525
132,0.553125
133,0.590625
134,0.5375
135,0.515625
136,0.5625
137,0.55
138,0.55625
139,0.590625
140,0.5375
141,0.546875
142,0.553125
143,0.528125
144,0.534375
145,0.5625
146,0.61875
147,0.5875
148,0.528125
149,0.54375
150,0.51875
