item_index,image_word,condition,rating,max_probability,top_one_token,p1,p2,p3,p4,p5,total_probability_mass
0,library,congruent,5.0,1.0,5,1.2014061212539673e-07,1.2759119272232056e-07,6.007030606269836e-08,0.000335693359375,1.0,1.0
0,refrigerator,congruent,5.0,1.0,5,1.4006218407303095e-10,3.8744474295526743e-10,2.6557245291769505e-10,7.338821887969971e-07,1.0,1.0
0,library,incongruent,1.0,1.0,1,1.0,0.000335693359375,7.867813110351562e-06,2.562999725341797e-06,5.817413330078125e-05,1.0
0,refrigerator,incongruent,1.0,1.0,1,1.0,8.754432201385498e-08,1.4319084584712982e-08,1.1117663234472275e-08,3.4226104617118835e-08,1.0
1,delight,congruent,5.0,1.0,5,6.139089236967266e-11,8.185452315956354e-11,4.615685611497611e-11,2.066371962428093e-09,1.0,1.0
1,disappointment,congruent,4.25,0.69140625,4,0.00151824951171875,0.014404296875,0.00194549560546875,0.69140625,0.2890625,1.0
1,delight,incongruent,1.0,1.0,1,1.0,6.5267086029052734e-06,1.4435499906539917e-07,1.5366822481155396e-07,1.0058283805847168e-06,1.0
1,disappointment,incongruent,1.0,1.0,1,1.0,0.000553131103515625,3.528594970703125e-05,6.48200511932373e-07,1.6540288925170898e-06,1.0
2,overcoat,congruent,5.0,1.0,5,4.802132025361061e-09,1.9354047253727913e-09,1.2514647096395493e-09,5.029141902923584e-07,1.0,1.0
2,sandals,congruent,5.0,1.0,5,2.514570951461792e-08,2.0838342607021332e-08,9.837094694375992e-09,1.4603137969970703e-06,1.0,1.0
2,overcoat,incongruent,1.0,1.0,1,1.0,1.4784745872020721e-08,2.0736479200422764e-10,8.230927051045e-11,2.4883775040507317e-09,1.0
2,sandals,incongruent,1.0,1.0,1,1.0,6.973743438720703e-06,1.525040715932846e-08,2.0838342607021332e-08,1.6391277313232422e-07,1.0
3,exam,congruent,5.0,1.0,5,3.4051481634378433e-09,3.474269760772586e-10,1.4279066817834973e-10,4.172325134277344e-07,1.0,1.0
3,marathon,congruent,5.0,1.0,5,3.8198777474462986e-10,1.3005774235352874e-10,1.382431946694851e-10,5.657784640789032e-08,1.0,1.0
3,exam,incongruent,1.0703125,0.98046875,1,0.98046875,0.00213623046875,0.0024261474609375,0.0003719329833984375,0.015869140625,1.0
3,marathon,incongruent,1.2890625,0.8828125,1,0.8828125,0.0031890869140625,0.08203125,0.0002956390380859375,0.0302734375,1.0
4,menu,congruent,4.9375,0.9296875,5,0.00084686279296875,0.0037994384765625,0.007080078125,0.059326171875,0.9296875,1.0
4,prescription,congruent,5.0,1.0,5,1.0695657692849636e-09,1.5061232261359692e-09,1.800799509510398e-10,2.4318695068359375e-05,1.0,1.0
4,menu,incongruent,1.0,1.0,1,1.0,0.00020313262939453125,3.528594970703125e-05,3.293156623840332e-06,2.1457672119140625e-05,1.0
4,prescription,incongruent,1.0,1.0,1,1.0,2.905726432800293e-06,1.5366822481155396e-07,3.4226104617118835e-08,1.5366822481155396e-07,1.0
5,distress,congruent,5.0,1.0,5,1.5188561519607902e-10,9.379164112033322e-12,1.1141310096718371e-11,3.1104718800634146e-10,1.0,1.0
5,tranquility,congruent,5.0,1.0,5,2.3987922759260982e-11,4.774847184307873e-12,6.849631972727366e-12,5.384208634495735e-10,1.0,1.0
