layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,✅,0.609235308634241
0,0,refrigerator,congruent,✅,0.582410659817124
0,0,library,incongruent,❌,0.5107690920001353
0,0,refrigerator,incongruent,✅,0.4946047372537518
0,1,disappointment,congruent,❌,0.40278587640018915
0,1,delight,congruent,❌,0.15594503929421102
0,1,disappointment,incongruent,✅,0.1338872084082418
0,1,delight,incongruent,✅,0.43469578969976036
0,10,cash,congruent,❌,0.4836946147443211
0,10,groceries,congruent,❌,0.2659498029100378
0,10,cash,incongruent,✅,0.2893006521821869
0,10,groceries,incongruent,✅,0.46873195901052106
0,11,lonely,congruent,✅,0.7252681451082285
0,11,confident,congruent,✅,0.7103299337971759
0,11,lonely,incongruent,❌,0.6469156836862826
0,11,confident,incongruent,❌,0.6917786401973126
0,12,joy,congruent,❌,0.49673310859415815
0,12,outrage,congruent,✅,0.5821830784055131
0,12,joy,incongruent,❌,0.5527217342666072
0,12,outrage,incongruent,✅,0.43482464811581234
0,13,traffic,congruent,✅,0.7569287262865276
0,13,snowstorm,congruent,✅,0.7474415674149323
0,13,traffic,incongruent,❌,0.7561692561973413
0,13,snowstorm,incongruent,❌,0.7772135294616134
0,14,laughter,congruent,❌,0.3685245603962645
0,14,frustration,congruent,❌,0.4624912769521944
0,14,laughter,incongruent,✅,0.46674652561351515
0,14,frustration,incongruent,✅,0.356632416176665
0,15,calculator,congruent,❌,0.34857132332785923
0,15,instrument,congruent,✅,0.531063672239428
0,15,calculator,incongruent,✅,0.39370452177927273
0,15,instrument,incongruent,✅,0.12827056854553934
0,16,orchestra,congruent,✅,0.523786810740162
0,16,racers,congruent,❌,0.4288363921562302
0,16,orchestra,incongruent,✅,0.38150719350425044
0,16,racers,incongruent,❌,0.5128490274039688
0,17,retirement,congruent,✅,0.6458251687789278
0,17,playdate,congruent,❌,0.41885331624043187
0,17,retirement,incongruent,✅,0.36948981742694326
0,17,playdate,incongruent,❌,0.6372438604137594
0,18,relieved,congruent,✅,0.659671170628235
0,18,depressed,congruent,✅,0.5472240377597383
0,18,relieved,incongruent,❌,0.5207256065427738
0,18,depressed,incongruent,❌,0.6618235449451613
0,19,friends,congruent,✅,0.7206533570232824
0,19,weight,congruent,✅,0.6650377919257631
0,19,friends,incongruent,❌,0.591183959935039
0,19,weight,incongruent,❌,0.7258858515725952
0,2,overcoat,congruent,❌,0.45854037202898895
0,2,sandals,congruent,❌,0.4086971544214707
0,2,overcoat,incongruent,✅,0.3639887645849886
0,2,sandals,incongruent,✅,0.4596611068727585
0,20,lipstick,congruent,✅,0.5826452451650261
0,20,song,congruent,✅,0.5887649561363241
0,20,lipstick,incongruent,❌,0.5042460471417376
0,20,song,incongruent,✅,0.4487058850008671
0,21,fought,congruent,❌,0.34502050660304656
0,21,sang,congruent,❌,0.4724832426280419
0,21,fought,incongruent,✅,0.4621130383846797
0,21,sang,incongruent,✅,0.3636880043097336
0,22,skeptical,congruent,✅,0.5592259277103713
0,22,reassured,congruent,✅,0.5097011879462607
0,22,skeptical,incongruent,✅,0.4869454496196793
