seed,max_accuracy
0,0.5375
1,0.54375
2,0.565625
3,0.534375
4,0.5125
5,0.53125
6,0.546875
7,0.5125
8,0.584375
9,0.621875
10,0.53125
11,0.546875
12,0.578125
13,0.525
14,0.540625
15,0.565625
16,0.559375
17,0.546875
18,0.553125
19,0.575
20,0.603125
21,0.515625
22,0.53125
23,0.55625
24,0.53125
25,0.528125
26,0.53125
27,0.553125
28,0.553125
29,0.55625
30,0.51875
31,0.54375
32,0.521875
33,0.55625
34,0.515625
35,0.5875
36,0.53125
37,0.51875
38,0.5875
39,0.546875
40,0.55625
41,0.528125
42,0.55
43,0.5375
44,0.55
45,0.60625
46,0.546875
47,0.515625
48,0.528125
49,0.53125
50,0.540625
51,0.571875
52,0.55
53,0.55625
54,0.55625
55,0.521875
56,0.540625
57,0.528125
58,0.546875
59,0.51875
60,0.50625
61,0.553125
62,0.5375
63,0.54375
64,0.559375
65,0.528125
66,0.521875
67,0.578125
68,0.590625
69,0.60625
70,0.540625
71,0.51875
72,0.5625
73,0.559375
74,0.565625
75,0.5375
76,0.590625
77,0.528125
78,0.546875
79,0.496875
80,0.51875
81,0.534375
82,0.515625
83,0.5125
84,0.503125
85,0.596875
86,0.5125
87,0.571875
88,0.528125
89,0.54375
90,0.546875
91,0.5625
92,0.528125
93,0.528125
94,0.571875
95,0.51875
96,0.540625
97,0.525
98,0.534375
99,0.540625
100,0.58125
101,0.54375
102,0.515625
103,0.58125
104,0.5125
105,0.565625
106,0.53125
107,0.553125
108,0.578125
109,0.540625
110,0.55
111,0.50625
112,0.53125
113,0.55
114,0.565625
115,0.553125
116,0.521875
117,0.525
118,0.51875
119,0.51875
120,0.525
121,0.53125
122,0.528125
123,0.509375
124,0.55625
125,0.546875
126,0.521875
127,0.528125
128,0.53125
129,0.5375
130,0.55625
131,0.528125
132,0.553125
133,0.5625
134,0.53125
135,0.553125
136,0.5625
137,0.53125
138,0.553125
139,0.55625
140,0.546875
141,0.521875
142,0.584375
143,0.559375
144,0.55625
145,0.5375
146,0.628125
147,0.596875
148,0.53125
149,0.5875
150,0.525
151,0.546875
152,0.571875
153,0.521875
154,0.51875
155,0.55625
156,0.553125
157,0.54375
158,0.53125
159,0.578125
160,0.559375
161,0.590625
162,0.53125
163,0.56875
164,0.546875
165,0.575
166,0.53125
167,0.515625
168,0.534375
169,0.515625
170,0.5125
171,0.521875
172,0.528125
173,0.55625
174,0.55625
175,0.53125
176,0.534375
177,0.528125
178,0.534375
179,0.503125
180,0.534375
181,0.56875
182,0.53125
183,0.58125
184,0.559375
185,0.553125
186,0.5375
187,0.51875
188,0.534375
189,0.54375
190,0.534375
191,0.559375
192,0.55
193,0.546875
194,0.534375
195,0.515625
196,0.571875
197,0.55625
198,0.509375
199,0.559375
200,0.590625
201,0.540625
202,0.540625
203,0.559375
204,0.525
205,0.5125
206,0.578125
207,0.546875
208,0.60625
209,0.55
210,0.528125
211,0.55
212,0.53125
213,0.50625
214,0.546875
215,0.55625
216,0.55
217,0.5625
218,0.55625
219,0.54375
220,0.521875
221,0.496875
222,0.55625
223,0.521875
224,0.565625
225,0.525
226,0.534375
227,0.553125
228,0.5625
229,0.609375
230,0.55
231,0.53125
232,0.596875
233,0.54375
234,0.528125
235,0.525
236,0.5
237,0.5375
238,0.509375
239,0.53125
240,0.5125
241,0.528125
242,0.55625
243,0.54375
244,0.540625
245,0.51875
246,0.540625
247,0.553125
248,0.534375
249,0.51875
250,0.58125
251,0.5
252,0.55625
253,0.575
254,0.540625
255,0.559375
256,0.5125
257,0.528125
258,0.528125
259,0.55
260,0.58125
261,0.515625
262,0.571875
263,0.59375
264,0.528125
265,0.578125
266,0.521875
267,0.521875
268,0.596875
269,0.54375
270,0.553125
271,0.53125
272,0.546875
273,0.578125
274,0.59375
275,0.5375
276,0.546875
277,0.540625
278,0.553125
279,0.5625
280,0.528125
281,0.525
282,0.51875
283,0.521875
284,0.56875
285,0.540625
286,0.571875
287,0.525
288,0.525
289,0.578125
290,0.55625
291,0.534375
292,0.509375
293,0.534375
294,0.534375
295,0.53125
296,0.54375
297,0.528125
298,0.5375
299,0.59375
300,0.553125
301,0.515625
302,0.546875
303,0.59375
304,0.575
305,0.51875
306,0.528125
307,0.5125
308,0.509375
309,0.55
310,0.528125
311,0.5875
312,0.509375
313,0.54375
314,0.540625
315,0.571875
316,0.559375
317,0.55
318,0.515625
319,0.578125
320,0.5375
321,0.584375
322,0.5125
323,0.540625
324,0.528125
325,0.525
326,0.540625
327,0.534375
328,0.559375
329,0.525
330,0.534375
331,0.55625
332,0.525
333,0.578125
334,0.51875
335,0.5875
336,0.559375
337,0.525
338,0.546875
339,0.525
340,0.55625
341,0.559375
342,0.5375
343,0.571875
344,0.559375
345,0.5625
346,0.5375
347,0.503125
348,0.53125
349,0.56875
350,0.521875
351,0.55
352,0.53125
353,0.5375
354,0.571875
355,0.525
356,0.521875
357,0.521875
358,0.584375
359,0.51875
360,0.546875
