layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,❌,0.4405635807496303
0,0,refrigerator,congruent,❌,0.4423576132639362
0,0,library,incongruent,✅,0.352856422480892
0,0,refrigerator,incongruent,✅,0.4406961605914875
0,1,disappointment,congruent,✅,0.6507370757777305
0,1,delight,congruent,❌,0.4320480898899348
0,1,disappointment,incongruent,✅,0.4119517729282435
0,1,delight,incongruent,❌,0.6535083950385979
0,10,cash,congruent,❌,0.4228350214016869
0,10,groceries,congruent,❌,0.4182036425211502
0,10,cash,incongruent,✅,0.460455763923605
0,10,groceries,incongruent,✅,0.4315662845441504
0,11,lonely,congruent,✅,0.5204403927606706
0,11,confident,congruent,✅,0.6446010245360585
0,11,lonely,incongruent,❌,0.6423346875908194
0,11,confident,incongruent,✅,0.47353388499813465
0,12,joy,congruent,✅,0.515768641531939
0,12,outrage,congruent,❌,0.45315035939111437
0,12,joy,incongruent,✅,0.35264104539465213
0,12,outrage,incongruent,❌,0.527216570840988
0,13,traffic,congruent,✅,0.5810057057330915
0,13,snowstorm,congruent,✅,0.6327909585488789
0,13,traffic,incongruent,❌,0.6177929878505494
0,13,snowstorm,incongruent,❌,0.5619408926337416
0,14,laughter,congruent,✅,0.559039491607243
0,14,frustration,congruent,✅,0.684483481316524
0,14,laughter,incongruent,❌,0.667970543440829
0,14,frustration,incongruent,❌,0.5571109217426483
0,15,calculator,congruent,❌,0.3999389111055689
0,15,instrument,congruent,❌,0.42655034594079855
0,15,calculator,incongruent,✅,0.39580445647335666
0,15,instrument,incongruent,✅,0.31199777026561215
0,16,orchestra,congruent,✅,0.5609352217457161
0,16,racers,congruent,✅,0.5449792359713995
0,16,orchestra,incongruent,❌,0.538857702277239
0,16,racers,incongruent,❌,0.551426968961232
0,17,retirement,congruent,✅,0.5535569077242161
0,17,playdate,congruent,❌,0.4554948134210592
0,17,retirement,incongruent,✅,0.45503248519902
0,17,playdate,incongruent,✅,0.47731251778855693
0,18,relieved,congruent,❌,0.40136876434658136
0,18,depressed,congruent,❌,0.45383432799361906
0,18,relieved,incongruent,✅,0.43713042414267533
0,18,depressed,incongruent,✅,0.42494288506265776
0,19,friends,congruent,✅,0.5874006533073625
0,19,weight,congruent,✅,0.5620528659235252
0,19,friends,incongruent,❌,0.5278480517069212
0,19,weight,incongruent,❌,0.5766865530445119
0,2,overcoat,congruent,✅,0.5285002290017603
0,2,sandals,congruent,✅,0.5083488546675278
0,2,overcoat,incongruent,❌,0.5038419932030959
0,2,sandals,incongruent,❌,0.5181818059146731
0,20,lipstick,congruent,✅,0.7503350878571161
0,20,song,congruent,✅,0.632786088312274
0,20,lipstick,incongruent,❌,0.5768213341518745
0,20,song,incongruent,❌,0.745165972977221
0,21,fought,congruent,❌,0.22510745110585526
0,21,sang,congruent,✅,0.5076272369381264
0,21,fought,incongruent,✅,0.49822858466612585
0,21,sang,incongruent,✅,0.22279793503036305
0,22,skeptical,congruent,✅,0.5238656625488117
0,22,reassured,congruent,❌,0.407610226875996
0,22,skeptical,incongruent,✅,0.4009725784985114
0,22,reassured,incongruent,✅,0.49066865660894204
0,23,graduation,congruent,❌,0.4926970015326112
0,23,operation,congruent,✅,0.5700190926591423
0,23,graduation,incongruent,❌,0.5451773808142998
0,23,operation,incongruent,✅,0.46247451827040703
0,24,bride,congruent,❌,0.3924000010804305
0,24,aftermath,congruent,❌,0.4924553945537132
0,24,bride,incongruent,✅,0.4036912415584479
0,24,aftermath,incongruent,✅,0.34515700882188904
0,25,teacher,congruent,❌,0.486713635528909
0,25,daughter,congruent,✅,0.6046982929526898
0,25,teacher,incongruent,❌,0.582240718334091
0,25,daughter,incongruent,✅,0.48288418043119036
0,26,roommate,congruent,✅,0.5413514097252513
0,26,grandma,congruent,❌,0.48466726879056043
0,26,roommate,incongruent,✅,0.48587906276242804
0,26,grandma,incongruent,✅,0.4947174811832818
0,27,brother,congruent,✅,0.5526659537476614
0,27,mother,congruent,✅,0.5896810944705934
0,27,brother,incongruent,❌,0.5601900154586469
0,27,mother,incongruent,❌,0.5822866089420854
0,28,preschool,congruent,✅,0.5192908233508089
0,28,prison,congruent,✅,0.605528211066027
0,28,preschool,incongruent,❌,0.5560949736347144
0,28,prison,incongruent,✅,0.4718118413444905
0,29,hopeful,congruent,❌,0.4208046445532374
0,29,hopeless,congruent,✅,0.5328970138928804
0,29,hopeful,incongruent,❌,0.5085464948889395
0,29,hopeless,incongruent,✅,0.43486582239322497
0,3,marathon,congruent,✅,0.5480579955887155
0,3,exam,congruent,✅,0.5330269604499647
0,3,marathon,incongruent,✅,0.4998866655418233
0,3,exam,incongruent,❌,0.5438732464371855
0,30,appalled,congruent,❌,0.39854535986691914
0,30,overjoyed,congruent,❌,0.462351115617068
0,30,appalled,incongruent,✅,0.46345601494795735
0,30,overjoyed,incongruent,✅,0.3902420039064859
0,31,reprimand,congruent,✅,0.5074215285035352
0,31,encouragement,congruent,❌,0.34721273500021527
0,31,reprimand,incongruent,✅,0.355232517176415
0,31,encouragement,incongruent,❌,0.5053141444470047
0,32,angrily,congruent,❌,0.3534313916064326
0,32,cordially,congruent,❌,0.43699865352997275
0,32,angrily,incongruent,✅,0.4325052793250267
0,32,cordially,incongruent,✅,0.3191908920691819
0,33,accusatory,congruent,❌,0.4717905542168139
0,33,flirtatious,congruent,❌,0.40631811259251294
0,33,accusatory,incongruent,✅,0.40788867818447416
0,33,flirtatious,incongruent,✅,0.4716429625137838
0,34,disapprovingly,congruent,✅,0.5001038971484112
0,34,lovingly,congruent,✅,0.5153830596882789
0,34,disapprovingly,incongruent,❌,0.5130740423624055
0,34,lovingly,incongruent,❌,0.502022148825681
0,35,playful,congruent,✅,0.6097146967933433
0,35,distant,congruent,❌,0.30664191518233586
0,35,playful,incongruent,✅,0.3049821535737985
0,35,distant,incongruent,❌,0.5945387515805464
0,36,headphones,congruent,✅,0.6500796519650731
0,36,mangoes,congruent,✅,0.5841270867548713
0,36,headphones,incongruent,❌,0.589893115416897
0,36,mangoes,incongruent,❌,0.5822741267803053
0,37,playroom,congruent,✅,0.5342420681337932
0,37,park,congruent,✅,0.5102641428423136
0,37,playroom,incongruent,❌,0.5054892903931959
0,37,park,incongruent,❌,0.5404467496941657
0,38,bedroom,congruent,✅,0.583706324404078
0,38,backyard,congruent,✅,0.5573900461397376
0,38,bedroom,incongruent,❌,0.5742440851462215
0,38,backyard,incongruent,❌,0.5602245488306471
