seed,max_accuracy
0,0.525
1,0.578125
2,0.5375
3,0.546875
4,0.540625
5,0.553125
6,0.565625
7,0.528125
8,0.609375
9,0.621875
10,0.55
11,0.546875
12,0.553125
13,0.534375
14,0.55
15,0.571875
16,0.521875
17,0.54375
18,0.546875
19,0.559375
20,0.603125
21,0.528125
22,0.53125
23,0.553125
24,0.5375
25,0.534375
26,0.5375
27,0.534375
28,0.5625
29,0.521875
30,0.540625
31,0.5375
32,0.525
33,0.55
34,0.540625
35,0.540625
36,0.540625
37,0.559375
38,0.6
39,0.528125
40,0.5375
41,0.55625
42,0.54375
43,0.553125
44,0.55
45,0.596875
46,0.54375
47,0.553125
48,0.534375
49,0.5375
50,0.5375
51,0.5625
52,0.546875
53,0.54375
54,0.58125
55,0.51875
56,0.55625
57,0.528125
58,0.55
59,0.528125
60,0.5375
61,0.540625
62,0.5375
63,0.54375
64,0.565625
65,0.51875
66,0.546875
67,0.59375
68,0.60625
69,0.628125
70,0.546875
71,0.55625
72,0.525
73,0.55
74,0.596875
75,0.546875
76,0.5875
77,0.54375
78,0.55625
79,0.509375
80,0.521875
81,0.540625
82,0.55
83,0.5375
84,0.5375
85,0.596875
86,0.5375
87,0.540625
88,0.51875
89,0.56875
90,0.56875
91,0.55
92,0.50625
93,0.565625
94,0.56875
95,0.534375
96,0.5375
97,0.53125
98,0.546875
99,0.546875
100,0.58125
101,0.553125
102,0.521875
103,0.60625
104,0.521875
105,0.5875
106,0.53125
107,0.55625
108,0.578125
109,0.534375
110,0.559375
111,0.490625
112,0.515625
113,0.5625
114,0.5625
115,0.546875
116,0.53125
117,0.528125
118,0.5125
119,0.55
120,0.54375
121,0.565625
122,0.528125
123,0.515625
124,0.55625
125,0.5625
126,0.51875
127,0.528125
128,0.51875
129,0.56875
130,0.565625
131,0.53125
132,0.5625
133,0.565625
134,0.55625
135,0.546875
136,0.565625
137,0.534375
138,0.559375
139,0.565625
140,0.540625
141,0.546875
142,0.58125
143,0.53125
144,0.525
145,0.55625
146,0.55625
147,0.61875
148,0.55
149,0.559375
150,0.503125
151,0.553125
152,0.584375
153,0.525
154,0.546875
155,0.575
156,0.584375
157,0.525
158,0.525
159,0.5625
160,0.553125
161,0.55625
162,0.540625
163,0.5875
164,0.54375
165,0.559375
166,0.53125
167,0.525
168,0.521875
169,0.5125
170,0.51875
171,0.54375
172,0.534375
173,0.553125
174,0.55625
175,0.565625
176,0.54375
177,0.521875
178,0.51875
179,0.51875
180,0.540625
181,0.55625
182,0.521875
183,0.56875
184,0.559375
185,0.540625
186,0.534375
187,0.525
188,0.565625
189,0.553125
190,0.553125
191,0.58125
192,0.53125
193,0.546875
194,0.596875
195,0.55625
196,0.565625
197,0.5625
198,0.53125
199,0.578125
200,0.590625
201,0.546875
202,0.528125
203,0.55
204,0.54375
205,0.521875
206,0.55625
207,0.5375
208,0.578125
209,0.553125
210,0.509375
211,0.54375
212,0.546875
213,0.553125
214,0.5375
215,0.534375
216,0.53125
217,0.559375
218,0.5875
219,0.559375
220,0.51875
221,0.515625
222,0.55
223,0.540625
224,0.571875
225,0.540625
226,0.528125
227,0.534375
228,0.5375
229,0.584375
230,0.5875
231,0.521875
232,0.596875
233,0.553125
234,0.55
235,0.521875
236,0.5125
237,0.54375
238,0.521875
239,0.540625
240,0.51875
241,0.54375
242,0.540625
243,0.5375
244,0.575
245,0.528125
246,0.559375
247,0.53125
248,0.546875
249,0.540625
250,0.578125
251,0.509375
252,0.575
253,0.590625
254,0.54375
255,0.56875
256,0.525
257,0.528125
258,0.58125
259,0.54375
260,0.5625
261,0.53125
262,0.55
263,0.5875
264,0.540625
265,0.5625
266,0.53125
267,0.55
268,0.5875
269,0.54375
270,0.58125
271,0.54375
272,0.5625
273,0.59375
274,0.559375
275,0.559375
276,0.534375
277,0.528125
278,0.578125
279,0.55625
280,0.528125
281,0.525
282,0.525
283,0.55625
284,0.575
285,0.553125
286,0.575
287,0.51875
288,0.54375
289,0.596875
290,0.559375
291,0.534375
292,0.5125
293,0.546875
294,0.55625
295,0.55625
296,0.540625
297,0.54375
298,0.5375
299,0.5875
300,0.565625
301,0.50625
302,0.534375
303,0.590625
304,0.5625
305,0.53125
306,0.54375
307,0.5375
308,0.5125
309,0.546875
310,0.54375
311,0.5875
312,0.515625
313,0.521875
314,0.546875
315,0.596875
316,0.5375
317,0.553125
318,0.540625
319,0.55625
320,0.55
321,0.55625
322,0.521875
323,0.540625
324,0.5375
325,0.5125
326,0.55
327,0.521875
328,0.55625
329,0.5125
330,0.5125
331,0.55
332,0.546875
333,0.5875
334,0.5375
335,0.59375
336,0.5375
337,0.528125
338,0.54375
339,0.53125
340,0.5375
341,0.55
342,0.553125
343,0.625
344,0.55625
345,0.534375
346,0.55
347,0.5125
348,0.53125
349,0.584375
350,0.55625
351,0.565625
352,0.53125
353,0.528125
354,0.553125
355,0.528125
356,0.521875
357,0.5125
358,0.6125
359,0.54375
360,0.5375
361,0.559375
362,0.51875
363,0.553125
364,0.53125
365,0.5125
366,0.559375
367,0.55625
368,0.56875
369,0.553125
370,0.540625
371,0.55
372,0.528125
373,0.56875
374,0.584375
375,0.540625
376,0.5375
377,0.559375
378,0.565625
379,0.528125
380,0.53125
381,0.58125
382,0.546875
383,0.540625
384,0.503125
385,0.55
386,0.55
387,0.546875
388,0.5625
389,0.521875
390,0.5375
391,0.565625
392,0.5625
393,0.58125
394,0.525
395,0.55
396,0.534375
397,0.53125
398,0.521875
399,0.50625
400,0.565625
