layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,✅,0.516518637528802
0,0,refrigerator,congruent,✅,0.5901354251744517
0,0,library,incongruent,✅,0.47947503130068786
0,0,refrigerator,incongruent,✅,0.47128298483578257
0,1,disappointment,congruent,✅,0.5239531225295345
0,1,delight,congruent,✅,0.571882436210818
0,1,disappointment,incongruent,❌,0.5019266381519784
0,1,delight,incongruent,❌,0.5078328727501978
0,10,cash,congruent,❌,0.16081213531471036
0,10,groceries,congruent,❌,0.34246075340423404
0,10,cash,incongruent,✅,0.3501897872419948
0,10,groceries,incongruent,✅,0.09448726691109743
0,11,lonely,congruent,✅,0.5173678066416926
0,11,confident,congruent,✅,0.523986653417995
0,11,lonely,incongruent,✅,0.45265041859166777
0,11,confident,incongruent,✅,0.36542704774110496
0,12,joy,congruent,✅,0.5067463379105945
0,12,outrage,congruent,❌,0.41083818941485023
0,12,joy,incongruent,✅,0.25981900461668617
0,12,outrage,incongruent,✅,0.4557618178558641
0,13,traffic,congruent,✅,0.893416570349807
0,13,snowstorm,congruent,✅,0.8216724483782547
0,13,traffic,incongruent,❌,0.8066699949670276
0,13,snowstorm,incongruent,❌,0.8800405876032852
0,14,laughter,congruent,❌,0.39718845628585325
0,14,frustration,congruent,✅,0.5531138998359905
0,14,laughter,incongruent,❌,0.5542394353838637
0,14,frustration,incongruent,✅,0.3882836756653069
0,15,calculator,congruent,✅,0.6898401255891448
0,15,instrument,congruent,✅,0.7302489190988976
0,15,calculator,incongruent,❌,0.5497354589933452
0,15,instrument,incongruent,✅,0.39096866494100785
0,16,orchestra,congruent,❌,0.4679735392084238
0,16,racers,congruent,✅,0.6261265589667422
0,16,orchestra,incongruent,❌,0.6025388851574325
0,16,racers,incongruent,✅,0.44131260315378695
0,17,retirement,congruent,✅,0.6502161045604626
0,17,playdate,congruent,❌,0.39358139703421746
0,17,retirement,incongruent,✅,0.4393176682675003
0,17,playdate,incongruent,❌,0.5136244075297189
0,18,relieved,congruent,❌,0.3004104196641607
0,18,depressed,congruent,❌,0.3658600811708978
0,18,relieved,incongruent,✅,0.30952847375375264
0,18,depressed,incongruent,✅,0.3146815371452291
0,19,friends,congruent,✅,0.6447108356141467
0,19,weight,congruent,✅,0.6983160091766492
0,19,friends,incongruent,❌,0.6064951011235177
0,19,weight,incongruent,❌,0.614401995621917
0,2,overcoat,congruent,✅,0.5011501773019609
0,2,sandals,congruent,✅,0.6040146642879446
0,2,overcoat,incongruent,❌,0.5698731325258032
0,2,sandals,incongruent,✅,0.44170102148209633
0,20,lipstick,congruent,✅,0.6829791334856601
0,20,song,congruent,✅,0.8411106471761903
0,20,lipstick,incongruent,❌,0.5568534067061234
0,20,song,incongruent,❌,0.6073346951738103
0,21,fought,congruent,❌,0.20445232117506815
0,21,sang,congruent,❌,0.40549359669642776
0,21,fought,incongruent,✅,0.3117067588061178
0,21,sang,incongruent,✅,0.19089607091731026
0,22,skeptical,congruent,❌,0.4051980777311264
0,22,reassured,congruent,✅,0.638642200309578
0,22,skeptical,incongruent,❌,0.6406543940969031
0,22,reassured,incongruent,✅,0.44551355825737293
0,23,graduation,congruent,❌,0.37748528482444865
0,23,operation,congruent,❌,0.28899480541930733
0,23,graduation,incongruent,✅,0.17736996625145784
0,23,operation,incongruent,✅,0.24523314203049934
0,24,bride,congruent,✅,0.688593929895501
0,24,aftermath,congruent,❌,0.4860113928653684
0,24,bride,incongruent,✅,0.32282436870891107
0,24,aftermath,incongruent,❌,0.6068654636807082
0,25,teacher,congruent,✅,0.5560520039458813
0,25,daughter,congruent,❌,0.4303497074974531
0,25,teacher,incongruent,✅,0.4071281486478482
0,25,daughter,incongruent,❌,0.5289136283059681
0,26,roommate,congruent,❌,0.3637993361976064
0,26,grandma,congruent,✅,0.5851727759833638
0,26,roommate,incongruent,❌,0.5210437061088918
0,26,grandma,incongruent,✅,0.3655326339017996
0,27,brother,congruent,✅,0.6201572082587173
0,27,mother,congruent,✅,0.5461394361204718
0,27,brother,incongruent,✅,0.4458299539170521
0,27,mother,incongruent,❌,0.6121328601085699
0,28,preschool,congruent,✅,0.6684994216285993
0,28,prison,congruent,✅,0.7556039951970679
0,28,preschool,incongruent,❌,0.6734583588403511
0,28,prison,incongruent,✅,0.3030540154510335
0,29,hopeful,congruent,✅,0.5344035757939349
0,29,hopeless,congruent,❌,0.46117353368964553
0,29,hopeful,incongruent,✅,0.29995377125482964
0,29,hopeless,incongruent,❌,0.5573951036733947
0,3,marathon,congruent,✅,0.6066476578309243
0,3,exam,congruent,✅,0.5835265947822504
0,3,marathon,incongruent,✅,0.42922982111608465
0,3,exam,incongruent,✅,0.47684805067151015
0,30,appalled,congruent,❌,0.1542156544381504
0,30,overjoyed,congruent,✅,0.5157193038652469
0,30,appalled,incongruent,❌,0.5091954756041991
0,30,overjoyed,incongruent,✅,0.1723473780613766
