layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,✅,0.5917550083557914
0,0,refrigerator,congruent,✅,0.5018065333279573
0,0,library,incongruent,❌,0.5113227311258663
0,0,refrigerator,incongruent,✅,0.1454249117643838
0,1,disappointment,congruent,✅,0.5840810588454536
0,1,delight,congruent,❌,0.11706077255728918
0,1,disappointment,incongruent,✅,0.09678480297795689
0,1,delight,incongruent,❌,0.6176774850030691
0,10,cash,congruent,✅,0.6551317073228019
0,10,groceries,congruent,✅,0.6578750638141465
0,10,cash,incongruent,❌,0.6263762111759676
0,10,groceries,incongruent,❌,0.5393513264380392
0,11,lonely,congruent,✅,0.5833486670885799
0,11,confident,congruent,✅,0.7614813867385751
0,11,lonely,incongruent,❌,0.79107138134798
0,11,confident,incongruent,✅,0.45841100210257657
0,12,joy,congruent,✅,0.5749039737707757
0,12,outrage,congruent,✅,0.5284848731201811
0,12,joy,incongruent,❌,0.5403475347782464
0,12,outrage,incongruent,✅,0.4210979156004335
0,13,traffic,congruent,✅,0.9399404452583672
0,13,snowstorm,congruent,✅,0.6586592814164216
0,13,traffic,incongruent,❌,0.6569786775546158
0,13,snowstorm,incongruent,❌,0.9381334834594798
0,14,laughter,congruent,✅,0.5313287074583622
0,14,frustration,congruent,❌,0.43468960914333027
0,14,laughter,incongruent,✅,0.45517723120477627
0,14,frustration,incongruent,❌,0.5734079069149535
0,15,calculator,congruent,❌,0.1464393522038081
0,15,instrument,congruent,✅,0.5614915829132416
0,15,calculator,incongruent,✅,0.38845647283257656
0,15,instrument,incongruent,✅,0.07358926720028156
0,16,orchestra,congruent,✅,0.583440753829483
0,16,racers,congruent,❌,0.45973150996212087
0,16,orchestra,incongruent,✅,0.4045179566572317
0,16,racers,incongruent,✅,0.274287769277051
0,17,retirement,congruent,❌,0.45632877951726475
0,17,playdate,congruent,❌,0.35354650309205393
0,17,retirement,incongruent,✅,0.3814745403344598
0,17,playdate,incongruent,✅,0.3820659792663135
0,18,relieved,congruent,✅,0.7098269409570395
0,18,depressed,congruent,✅,0.5506148049493502
0,18,relieved,incongruent,❌,0.567116434285912
0,18,depressed,incongruent,❌,0.7209499631741705
0,19,friends,congruent,❌,0.40558502953343645
0,19,weight,congruent,❌,0.3809557064871072
0,19,friends,incongruent,✅,0.11651945740658182
0,19,weight,incongruent,✅,0.33969895211378376
0,2,overcoat,congruent,✅,0.548247501664817
0,2,sandals,congruent,✅,0.8181056582196479
0,2,overcoat,incongruent,❌,0.6567438400840042
0,2,sandals,incongruent,❌,0.5586115116423461
0,20,lipstick,congruent,✅,0.8905883125401436
0,20,song,congruent,✅,0.6149655981518958
0,20,lipstick,incongruent,✅,0.043903926940824206
0,20,song,incongruent,❌,0.8451292042288743
0,21,fought,congruent,❌,0.07287198772286364
0,21,sang,congruent,✅,0.6401191079296742
0,21,fought,incongruent,❌,0.6480399046250876
0,21,sang,incongruent,✅,0.07176124152053141
0,22,skeptical,congruent,❌,0.306078604014882
0,22,reassured,congruent,✅,0.644397130284067
0,22,skeptical,incongruent,❌,0.6443701481380156
0,22,reassured,incongruent,✅,0.30240002600907134
0,23,graduation,congruent,✅,0.9111166716571398
0,23,operation,congruent,✅,0.851268539251391
0,23,graduation,incongruent,❌,0.6250177547441186
0,23,operation,incongruent,✅,0.1545230334008399
0,24,bride,congruent,✅,0.7901460479250788
0,24,aftermath,congruent,✅,0.5434041266134805
0,24,bride,incongruent,✅,0.33976389182879924
0,24,aftermath,incongruent,✅,0.38015338268822707
0,25,teacher,congruent,✅,0.7765609873214031
0,25,daughter,congruent,✅,0.7455052310811524
0,25,teacher,incongruent,❌,0.7361354023286223
0,25,daughter,incongruent,❌,0.619064814608109
0,26,roommate,congruent,✅,0.7455614802223504
0,26,grandma,congruent,✅,0.5776977098448651
0,26,roommate,incongruent,❌,0.5665273331201998
0,26,grandma,incongruent,❌,0.5878147286099028
0,27,brother,congruent,✅,0.543288780013895
0,27,mother,congruent,❌,0.21726989050553994
0,27,brother,incongruent,✅,0.25344579746982265
0,27,mother,incongruent,❌,0.507090625457235
0,28,preschool,congruent,✅,0.8123233962553806
0,28,prison,congruent,❌,0.36448421535771736
0,28,preschool,incongruent,✅,0.1843411628230363
0,28,prison,incongruent,✅,0.3039366567660585
0,29,hopeful,congruent,✅,0.7078382260477992
0,29,hopeless,congruent,✅,0.6715689989688852
0,29,hopeful,incongruent,❌,0.6452202469228692
0,29,hopeless,incongruent,❌,0.7017589174432182
0,3,marathon,congruent,✅,0.6207712623813777
0,3,exam,congruent,✅,0.6569227803929192
0,3,marathon,incongruent,✅,0.35314654428243725
0,3,exam,incongruent,✅,0.39786149763810225
0,30,appalled,congruent,❌,0.3139753513820998
0,30,overjoyed,congruent,❌,0.3945886769132689
0,30,appalled,incongruent,✅,0.39168668872757634
0,30,overjoyed,incongruent,✅,0.31163991393553575
0,31,reprimand,congruent,❌,0.29833345829574004
0,31,encouragement,congruent,❌,0.26723023047716266
0,31,reprimand,incongruent,✅,0.27934971957343263
0,31,encouragement,incongruent,✅,0.29364143627186534
0,32,angrily,congruent,✅,0.5806017285439765
0,32,cordially,congruent,❌,0.4674482128917785
0,32,angrily,incongruent,✅,0.46558889088026106
0,32,cordially,incongruent,❌,0.5508705094445129
0,33,accusatory,congruent,✅,0.5763628418038741
0,33,flirtatious,congruent,❌,0.35591099394048603
0,33,accusatory,incongruent,✅,0.3647589234042862
0,33,flirtatious,incongruent,❌,0.5767792166710545
0,34,disapprovingly,congruent,❌,0.40422243386326306
0,34,lovingly,congruent,✅,0.6297563409879805
0,34,disapprovingly,incongruent,❌,0.6384289985713169
0,34,lovingly,incongruent,✅,0.3916729619335699
0,35,playful,congruent,✅,0.5106199314353191
0,35,distant,congruent,❌,0.2326093704031099
0,35,playful,incongruent,✅,0.21829473356437076
0,35,distant,incongruent,✅,0.4684006894081334
0,36,headphones,congruent,✅,0.79275013131868
0,36,mangoes,congruent,✅,0.6680308097100556
0,36,headphones,incongruent,❌,0.6599376001762237
0,36,mangoes,incongruent,❌,0.5456129441269162
0,37,playroom,congruent,✅,0.9432295400267063
0,37,park,congruent,✅,0.7639869038224875
0,37,playroom,incongruent,❌,0.7500137334640191
0,37,park,incongruent,❌,0.9393234150941657
0,38,bedroom,congruent,❌,0.3309154885314055
0,38,backyard,congruent,✅,0.5006398167814468
0,38,bedroom,incongruent,✅,0.4472804431998382
0,38,backyard,incongruent,✅,0.2934982902572005
0,39,solemnly,congruent,❌,0.4988579461242314
0,39,excitedly,congruent,✅,0.6131438690507581
0,39,solemnly,incongruent,❌,0.6292426462275549
0,39,excitedly,incongruent,✅,0.45083239474547265
0,4,menu,congruent,✅,0.8336887058160568
0,4,prescription,congruent,✅,0.8653734443522825
0,4,menu,incongruent,❌,0.5625726172108984
0,4,prescription,incongruent,✅,0.28079653649668135
0,40,car,congruent,✅,0.9313734337375699
0,40,sock,congruent,✅,0.7778467781415311
0,40,car,incongruent,❌,0.762846823024324
0,40,sock,incongruent,❌,0.8500725019328008
0,41,overdressed,congruent,✅,0.6434296712669184
0,41,naked,congruent,✅,0.5398499560670361
0,41,overdressed,incongruent,❌,0.6521643477610007
0,41,naked,incongruent,❌,0.6259211845424891
0,42,shy,congruent,❌,0.4405852879412682
0,42,lively,congruent,✅,0.5345675727827456
0,42,shy,incongruent,❌,0.5246168141282199
0,42,lively,incongruent,✅,0.3966739578625059
0,43,offended,congruent,❌,0.2494288747324629
0,43,flattered,congruent,❌,0.43732383857410917
0,43,offended,incongruent,✅,0.4452353977284799
0,43,flattered,incongruent,✅,0.24630371687932967
0,44,grandkid,congruent,✅,0.7556388724256926
0,44,cellmate,congruent,✅,0.6850217664610689
0,44,grandkid,incongruent,❌,0.6805679804308392
0,44,cellmate,incongruent,❌,0.7483859477387553
0,45,promoted,congruent,✅,0.5941939012019589
0,45,fired,congruent,❌,0.4233653460229651
0,45,promoted,incongruent,✅,0.4975179462930468
0,45,fired,incongruent,❌,0.5609800522717935
