layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,❌,0.22419976911654296
0,0,refrigerator,congruent,✅,0.6142908739870321
0,0,library,incongruent,✅,0.451757586803365
0,0,refrigerator,incongruent,✅,0.17335993414212045
0,1,disappointment,congruent,✅,0.7621830766395178
0,1,delight,congruent,❌,0.42948786566044994
0,1,disappointment,incongruent,✅,0.22611038410458933
0,1,delight,incongruent,❌,0.7312016690573764
0,10,cash,congruent,❌,0.28929661554596797
0,10,groceries,congruent,✅,0.7231335838566576
0,10,cash,incongruent,❌,0.6948902008987178
0,10,groceries,incongruent,✅,0.23635942349456165
0,11,lonely,congruent,❌,0.36900059796767765
0,11,confident,congruent,✅,0.6303751212549877
0,11,lonely,incongruent,❌,0.562606212292633
0,11,confident,incongruent,✅,0.24660184953056238
0,12,joy,congruent,✅,0.5487777507446057
0,12,outrage,congruent,✅,0.8209096313787091
0,12,joy,incongruent,❌,0.6606057137301607
0,12,outrage,incongruent,✅,0.2845133527123337
0,13,traffic,congruent,✅,0.6336407190810491
0,13,snowstorm,congruent,✅,0.9178267229019125
0,13,traffic,incongruent,❌,0.8987551782189396
0,13,snowstorm,incongruent,❌,0.6586614587993385
0,14,laughter,congruent,✅,0.74817046177914
0,14,frustration,congruent,✅,0.5401832295282653
0,14,laughter,incongruent,✅,0.3988070142977526
0,14,frustration,incongruent,❌,0.7545784519681044
0,15,calculator,congruent,❌,0.4671413365953362
0,15,instrument,congruent,❌,0.34610438619194384
0,15,calculator,incongruent,✅,0.22082186622916122
0,15,instrument,incongruent,✅,0.3528430197666767
0,16,orchestra,congruent,✅,0.7669653364321732
0,16,racers,congruent,✅,0.5746552879416916
0,16,orchestra,incongruent,❌,0.5468101817474051
0,16,racers,incongruent,❌,0.720170292760066
0,17,retirement,congruent,✅,0.5374729432276071
0,17,playdate,congruent,❌,0.310737736476328
0,17,retirement,incongruent,✅,0.34876206221635797
0,17,playdate,incongruent,✅,0.40942701075404275
0,18,relieved,congruent,❌,0.3620817963179401
0,18,depressed,congruent,❌,0.29066941602454555
0,18,relieved,incongruent,✅,0.26989960706953237
0,18,depressed,incongruent,✅,0.4135100657393852
0,19,friends,congruent,✅,0.6269828269861597
0,19,weight,congruent,✅,0.5070783542358792
0,19,friends,incongruent,✅,0.3547772116295431
0,19,weight,incongruent,❌,0.6669495114712913
