layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,❌,0.4418432503202516
0,0,refrigerator,congruent,❌,0.4654750919945455
0,0,library,incongruent,✅,0.45561534926417707
0,0,refrigerator,incongruent,✅,0.427480445980229
0,1,disappointment,congruent,❌,0.46563998449701455
0,1,delight,congruent,✅,0.5285318637697964
0,1,disappointment,incongruent,❌,0.5167412310463817
0,1,delight,incongruent,✅,0.4679040848596157
0,10,cash,congruent,❌,0.47512110859441203
0,10,groceries,congruent,✅,0.540907161329748
0,10,cash,incongruent,❌,0.5327604118469254
0,10,groceries,incongruent,✅,0.48262459161810534
0,11,lonely,congruent,❌,0.4363073626705166
0,11,confident,congruent,✅,0.5012114262876919
0,11,lonely,incongruent,❌,0.5113457688274196
0,11,confident,incongruent,✅,0.4054999478844989
0,12,joy,congruent,❌,0.4633662370283941
0,12,outrage,congruent,❌,0.4658730917791417
0,12,joy,incongruent,✅,0.45399671444462514
0,12,outrage,incongruent,✅,0.45394510026059937
0,13,traffic,congruent,✅,0.564065905888991
0,13,snowstorm,congruent,✅,0.5665568394221704
0,13,traffic,incongruent,❌,0.5699396907898253
0,13,snowstorm,incongruent,❌,0.5549779384170173
0,14,laughter,congruent,✅,0.5687089624712581
0,14,frustration,congruent,❌,0.48327719660068524
0,14,laughter,incongruent,✅,0.48900872092185216
0,14,frustration,incongruent,❌,0.5646255722089014
0,15,calculator,congruent,❌,0.49937777086560803
0,15,instrument,congruent,❌,0.455161942164531
0,15,calculator,incongruent,✅,0.44231679620931286
0,15,instrument,incongruent,✅,0.4465597022549037
0,16,orchestra,congruent,✅,0.5964850192163234
0,16,racers,congruent,✅,0.5200611142019832
0,16,orchestra,incongruent,❌,0.5189346525492583
0,16,racers,incongruent,❌,0.600952013246811
0,17,retirement,congruent,✅,0.5336602183716159
0,17,playdate,congruent,❌,0.45017285718927513
0,17,retirement,incongruent,✅,0.44730241903416135
0,17,playdate,incongruent,❌,0.52380664047624
0,18,relieved,congruent,❌,0.4664997807338922
