item_index,image_word,condition,rating,max_probability,top_one_token,p1,p2,p3,p4,p5,total_probability_mass
0,library,congruent,4.0,1.0,4,1.7848833522293717e-11,1.8189894035458565e-09,9.424984455108643e-07,1.0,0.0001583099365234375,1.0
0,refrigerator,congruent,4.0625,0.94140625,4,6.838973831690964e-14,7.901235221652314e-12,1.1175870895385742e-08,0.94140625,0.06005859375,1.0
0,library,incongruent,1.0,1.0,1,1.0,0.00012302398681640625,1.1874362826347351e-08,3.3905962482094765e-09,6.693881005048752e-10,1.0
0,refrigerator,incongruent,1.0,1.0,1,1.0,7.486343383789062e-05,3.841705620288849e-09,1.2514647096395493e-09,2.7830537874251604e-10,1.0
1,delight,congruent,5.0,1.0,5,1.5560885913146194e-12,3.342393029015511e-11,1.4915713109076023e-10,2.905726432800293e-06,1.0,1.0
1,disappointment,congruent,4.0,1.0,4,9.549694368615746e-12,1.4435499906539917e-07,0.00020313262939453125,1.0,7.729977369308472e-08,1.0
1,delight,incongruent,2.0,1.0,2,2.1457672119140625e-05,1.0,3.0547380447387695e-07,2.514570951461792e-08,3.583409124985337e-10,1.0
1,disappointment,incongruent,1.9765625,0.98046875,2,0.0179443359375,0.98046875,1.4156103134155273e-07,5.784386303275824e-10,9.379164112033322e-12,1.0
2,overcoat,congruent,4.96875,0.99609375,5,8.846257060213247e-13,1.3869794202037156e-11,2.9831426218152046e-09,0.003173828125,0.99609375,1.0
2,sandals,congruent,4.0,1.0,4,4.192202140984591e-13,5.4797055781818926e-11,2.5029294192790985e-08,1.0,0.00193023681640625,1.0
2,overcoat,incongruent,1.0,1.0,1,1.0,1.3709068298339844e-06,1.418811734765768e-09,5.893525667488575e-10,2.455635694786906e-10,1.0
2,sandals,incongruent,1.0,1.0,1,1.0,1.3709068298339844e-06,6.693881005048752e-10,2.7830537874251604e-10,2.7830537874251604e-10,1.0
3,exam,congruent,4.375,0.62109375,4,3.609557097661309e-12,1.0550138540565968e-10,3.306195139884949e-08,0.62109375,0.376953125,1.0
3,marathon,congruent,5.0,0.99609375,5,2.6756374893466273e-14,1.0018652574217413e-12,2.7830537874251604e-10,0.004058837890625,0.99609375,1.0
3,exam,incongruent,1.0,1.0,1,1.0,0.0001583099365234375,2.8405338525772095e-08,5.587935447692871e-09,5.20230969414115e-10,1.0
3,marathon,incongruent,1.2734375,0.73046875,1,0.73046875,0.26953125,1.0058283805847168e-06,4.400499165058136e-08,2.1973391994833946e-09,1.0
4,menu,congruent,4.0,0.98046875,4,6.093614501878619e-11,3.7834979593753815e-09,1.1846423149108887e-06,0.98046875,0.0179443359375,1.0
4,prescription,congruent,5.0,1.0,5,4.803268893738277e-12,9.049472282640636e-11,3.4051481634378433e-09,8.487701416015625e-05,1.0,1.0
