layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,✅,0.6224257174681991
0,0,refrigerator,congruent,✅,0.5480258084243654
0,0,library,incongruent,❌,0.5232724106368766
0,0,refrigerator,incongruent,❌,0.6107202027302442
0,1,disappointment,congruent,✅,0.5270042115769468
0,1,delight,congruent,❌,0.4535008054842063
0,1,disappointment,incongruent,✅,0.45375554273165425
0,1,delight,incongruent,❌,0.5243304983559849
0,10,cash,congruent,✅,0.5518758256224577
0,10,groceries,congruent,✅,0.5186156516190832
0,10,cash,incongruent,❌,0.5493911633904994
0,10,groceries,incongruent,❌,0.5561015465273614
0,11,lonely,congruent,❌,0.48940751326248216
0,11,confident,congruent,❌,0.4235259963782726
0,11,lonely,incongruent,✅,0.4217220760547299
0,11,confident,incongruent,✅,0.4845193494697733
0,12,joy,congruent,❌,0.4669454716910513
0,12,outrage,congruent,✅,0.591514671493567
0,12,joy,incongruent,❌,0.5634770258363409
0,12,outrage,incongruent,✅,0.4898120535186466
0,13,traffic,congruent,✅,0.5009317672704432
0,13,snowstorm,congruent,✅,0.5581623127545307
0,13,traffic,incongruent,❌,0.5489455630769736
0,13,snowstorm,incongruent,❌,0.5109590694107387
0,14,laughter,congruent,✅,0.5966888249409206
0,14,frustration,congruent,✅,0.5162050160364637
0,14,laughter,incongruent,❌,0.5156581853268593
0,14,frustration,incongruent,❌,0.6051435026744233
0,15,calculator,congruent,✅,0.5345415466643629
0,15,instrument,congruent,✅,0.500026666841181
0,15,calculator,incongruent,✅,0.48665724696774093
0,15,instrument,incongruent,❌,0.5148076832622482
0,16,orchestra,congruent,✅,0.5675936552045694
0,16,racers,congruent,❌,0.48759263642547346
0,16,orchestra,incongruent,❌,0.5124292894934016
0,16,racers,incongruent,❌,0.5753785442143042
0,17,retirement,congruent,✅,0.5609234646812037
0,17,playdate,congruent,❌,0.4467521156836913
0,17,retirement,incongruent,✅,0.4299907698453062
0,17,playdate,incongruent,❌,0.5487503726981229
0,18,relieved,congruent,✅,0.6319461790505997
0,18,depressed,congruent,✅,0.5549445325208322
0,18,relieved,incongruent,❌,0.5469083859944485
0,18,depressed,incongruent,❌,0.6253089828873761
0,19,friends,congruent,✅,0.5127527519655307
0,19,weight,congruent,✅,0.5069643893862467
0,19,friends,incongruent,❌,0.5075087069422255
0,19,weight,incongruent,❌,0.527745567247735
0,2,overcoat,congruent,❌,0.471610516288616
0,2,sandals,congruent,✅,0.5439170456175625
0,2,overcoat,incongruent,❌,0.5408992016372562
0,2,sandals,incongruent,✅,0.46969299849748974
0,20,lipstick,congruent,✅,0.5833622477668823
0,20,song,congruent,✅,0.5443431823242276
0,20,lipstick,incongruent,✅,0.47960583701253956
0,20,song,incongruent,❌,0.5962010562120665
0,21,fought,congruent,❌,0.42922173750499115
0,21,sang,congruent,❌,0.3583701355039626
0,21,fought,incongruent,✅,0.3606419792742887
0,21,sang,incongruent,✅,0.43150436767730227
0,22,skeptical,congruent,❌,0.43161551027351425
0,22,reassured,congruent,✅,0.5728649661583187
0,22,skeptical,incongruent,❌,0.5814314842351864
0,22,reassured,incongruent,✅,0.4377580261271564
0,23,graduation,congruent,✅,0.517656928580375
0,23,operation,congruent,❌,0.4965480367577745
0,23,graduation,incongruent,✅,0.41960350386492823
0,23,operation,incongruent,❌,0.5259775320624254
0,24,bride,congruent,❌,0.384858995576529
0,24,aftermath,congruent,❌,0.4901055123557669
0,24,bride,incongruent,✅,0.4557904451711189
0,24,aftermath,incongruent,✅,0.3809849737382705
0,25,teacher,congruent,❌,0.4951379361110045
0,25,daughter,congruent,❌,0.438597243604604
0,25,teacher,incongruent,✅,0.4367740959623119
0,25,daughter,incongruent,❌,0.5037614155153547
0,26,roommate,congruent,❌,0.4851347789302074
0,26,grandma,congruent,❌,0.47407191448381664
0,26,roommate,incongruent,✅,0.4742639977877932
0,26,grandma,incongruent,✅,0.48549034392491847
0,27,brother,congruent,❌,0.4772635612803857
0,27,mother,congruent,❌,0.47697761885075585
0,27,brother,incongruent,✅,0.4588912968054267
0,27,mother,incongruent,✅,0.4942093299947243
0,28,preschool,congruent,✅,0.5098908323437623
0,28,prison,congruent,✅,0.5817289786325814
0,28,preschool,incongruent,❌,0.551193821176057
0,28,prison,incongruent,✅,0.465798434498969
0,29,hopeful,congruent,❌,0.46565507625625
0,29,hopeless,congruent,❌,0.4543856492655203
0,29,hopeful,incongruent,✅,0.44851763754895047
0,29,hopeless,incongruent,✅,0.4684479111573925
0,3,marathon,congruent,✅,0.5632117373722179
0,3,exam,congruent,✅,0.5330536457541877
0,3,marathon,incongruent,❌,0.5593054259617681
0,3,exam,incongruent,❌,0.5573814459728488
0,30,appalled,congruent,✅,0.5049786873184502
0,30,overjoyed,congruent,❌,0.48046469311078965
0,30,appalled,incongruent,✅,0.49365124519074477
0,30,overjoyed,incongruent,❌,0.5034290507598456
0,31,reprimand,congruent,✅,0.6809071079250122
0,31,encouragement,congruent,✅,0.5114574268305296
0,31,reprimand,incongruent,❌,0.5074246914596929
0,31,encouragement,incongruent,❌,0.6800885884635841
0,32,angrily,congruent,✅,0.5271431914986137
0,32,cordially,congruent,❌,0.48637073614682197
0,32,angrily,incongruent,✅,0.4887619530007581
0,32,cordially,incongruent,✅,0.4996713219579441
0,33,accusatory,congruent,❌,0.487675647686166
0,33,flirtatious,congruent,✅,0.5345148911278139
0,33,accusatory,incongruent,❌,0.542889889426343
0,33,flirtatious,incongruent,✅,0.48933394126299895
0,34,disapprovingly,congruent,✅,0.5736991501055615
0,34,lovingly,congruent,✅,0.5935079633187361
0,34,disapprovingly,incongruent,❌,0.5823003980699433
0,34,lovingly,incongruent,❌,0.6145917089471259
0,35,playful,congruent,✅,0.5212373847092361
0,35,distant,congruent,❌,0.45360341968669404
0,35,playful,incongruent,✅,0.4600565641355933
0,35,distant,incongruent,❌,0.5226061399476548
0,36,headphones,congruent,✅,0.5349960522151113
0,36,mangoes,congruent,✅,0.7649228362727847
0,36,headphones,incongruent,❌,0.7491490768173704
0,36,mangoes,incongruent,❌,0.5105781347555856
0,37,playroom,congruent,✅,0.5719439360378523
0,37,park,congruent,❌,0.47840483324675664
0,37,playroom,incongruent,✅,0.48302702682894094
0,37,park,incongruent,❌,0.5849072234887289
0,38,bedroom,congruent,✅,0.5087011205436841
0,38,backyard,congruent,✅,0.5414327653019527
0,38,bedroom,incongruent,❌,0.5389997032590089
0,38,backyard,incongruent,❌,0.5603638227169769
0,39,solemnly,congruent,✅,0.5358314201275381
0,39,excitedly,congruent,❌,0.48705653074396565
0,39,solemnly,incongruent,✅,0.435926164520045
0,39,excitedly,incongruent,❌,0.5292043370696767
0,4,menu,congruent,❌,0.35181686600758716
0,4,prescription,congruent,❌,0.40971092974412326
0,4,menu,incongruent,✅,0.39553545591723355
0,4,prescription,incongruent,✅,0.3618024672370046
0,40,car,congruent,✅,0.524948174552654
0,40,sock,congruent,❌,0.4450430778892275
0,40,car,incongruent,✅,0.45920557798886724
0,40,sock,incongruent,❌,0.5142997177809012
0,41,overdressed,congruent,❌,0.43239957436435256
0,41,naked,congruent,❌,0.4230369155047574
0,41,overdressed,incongruent,✅,0.4527563200023321
0,41,naked,incongruent,✅,0.4309827990367628
0,42,shy,congruent,❌,0.46286657151453475
0,42,lively,congruent,✅,0.5743404942550029
